id,Q1,Q2,Q3,Q4,Q5,Q6,Q7
1388076875,C,B,A,A,B,A,B
1422104961,C,B,A,A,B,B,A
1439764921,C,B,A,B,A,A,C
1461522249,B,A,B,B,A,B,C
1521426546,C,A,A,A,B,A,B
1574809957,C,B,A,A,B,A,A
1799241727,C,B,A,B,B,B,C
1896392812,C,A,B,B,B,A,C
1973617618,B,A,B,B,A,B,C
2088763517,C,B,A,A,B,B,C
2094118584,C,B,A,B,B,A,B
2153205662,B,A,B,B,A,B,C
2290726072,C,B,A,B,A,A,B
2321003896,C,B,A,A,B,A,A
2337753762,C,B,A,A,A,A,A
2412894098,B,A,A,B,A,B,C
2500808809,C,A,A,B,B,B,B
2694726216,B,A,A,B,A,B,C
2738387084,C,A,B,A,B,B,C
2767333569,B,A,B,B,A,B,C
2790764148,B,A,B,A,B,B,C
2846936237,C,B,A,A,B,A,A
2870241487,C,B,A,A,A,A,A
2884204484,B,A,B,B,A,B,C
2893104391,C,B,A,A,A,A,B
2903159948,C,B,A,A,B,A,B
2927129825,B,A,B,B,A,B,C
3007603560,C,B,A,A,B,A,C
3015282977,C,A,B,B,A,B,B
3031378811,C,B,A,B,A,A,B
3128699639,C,B,A,A,B,A,A
3227947036,C,A,A,B,A,B,C
3247860886,C,B,A,B,A,B,B
3357571272,C,B,A,A,A,A,A
3427341325,C,A,A,B,B,B,B
3436537095,C,B,A,B,A,A,A
3480155072,C,B,A,B,A,A,B
3511424366,C,A,B,A,B,B,C
3641518435,B,A,A,B,B,B,C
3881805795,C,B,A,B,A,A,B
3903204544,B,B,A,A,B,A,C
3905584273,C,B,A,A,B,A,A
3974322793,C,B,A,B,B,A,A
3993363938,C,B,A,A,B,A,B
3993491561,C,A,A,B,A,B,B
4016777484,C,A,B,B,B,B,B
4101969711,C,B,A,B,A,A,A
4134663298,C,A,B,B,A,B,C
4218701807,C,B,A,B,A,A,C
4280912022,C,B,A,A,A,B,A
4329535990,C,B,A,B,A,A,B
4332725043,C,B,A,A,A,A,A
4341776736,B,A,B,B,A,B,C
4441179970,B,A,B,A,B,B,C
4496629668,B,A,A,B,A,B,C
4535662044,B,A,B,A,A,B,C
4543358981,B,A,B,A,B,B,C
4672989265,B,B,A,A,A,A,B
4716047404,B,B,A,B,A,B,C
4745840637,B,B,A,B,A,A,B
4789622814,C,B,A,B,A,B,B
4811750972,B,B,A,B,A,A,B
4881727444,C,B,A,B,A,A,A
4916969136,B,A,A,A,B,B,C
4937975485,C,B,A,B,B,A,A
5034153774,C,B,A,A,B,A,A
5077445230,C,B,A,A,A,A,B
5112324575,B,B,A,A,A,A,A
5136072764,B,B,A,B,A,A,C
5183593914,C,B,A,B,B,B,B
5292540094,C,B,A,A,B,B,C
5314749745,A,A,A,B,A,B,C
5348320913,A,A,B,B,A,B,C
5395039226,C,B,A,A,B,A,A
5402766188,C,B,A,A,B,A,A
5473969715,C,B,A,B,A,A,B
5548423806,C,B,A,A,A,A,A
5561023319,C,A,A,B,A,A,B
5596097823,C,A,A,B,B,A,B
5628690825,C,B,A,A,A,A,B
5682064843,C,A,A,B,A,B,B
5736082154,A,B,A,A,B,A,C
5764250917,B,A,B,B,A,B,C
5765699878,B,A,B,B,A,B,C
5839161640,C,A,B,C,C,B,A
5862873516,C,B,A,A,A,A,C
5908041850,B,B,A,B,A,B,C
5923624371,C,B,A,A,A,A,A
5948658911,C,A,A,A,B,B,B
6002559536,C,B,A,A,B,A,A
6042645653,B,B,A,A,B,B,A
6074064623,C,B,A,B,B,A,A
6279251255,C,B,A,A,B,B,C
6295982812,C,B,A,B,B,A,B
6296560201,C,B,A,B,B,B,B
6779799981,B,A,A,B,A,B,C
6817087374,C,A,A,B,A,B,C
6875708677,C,B,A,A,B,A,A
6925234617,C,A,A,B,A,A,C
6961386470,C,B,A,A,B,A,A
6995040775,C,B,A,A,B,B,C
7159800926,C,B,A,A,A,A,B
7237017308,C,A,B,B,A,B,C
7276598480,B,B,A,B,A,B,C
7281876710,B,A,B,B,A,B,C
7467989216,C,B,A,A,A,B,C
7488269670,B,A,B,A,B,B,C
7521123428,B,A,B,B,A,B,C
7692193950,C,B,A,B,A,A,B
7769850426,C,B,A,A,A,A,C
7962973752,B,A,B,A,B,B,C
8203034515,B,A,A,B,A,B,C
8251381751,B,A,B,A,B,B,C
8306613715,C,B,A,A,A,A,B
8307089134,B,B,A,A,B,B,A
8315509448,B,A,B,B,A,B,C
8406771903,B,B,A,B,A,A,C
8474673006,C,B,A,A,B,A,B
8706699810,B,A,B,B,A,B,C
8815795798,C,B,A,A,B,A,A
9001135290,B,A,B,B,A,B,C
9309870009,C,B,A,A,B,A,A
9318404306,C,A,B,A,A,B,B
9393468013,C,B,A,B,A,A,B
9546093889,C,B,A,B,A,A,C
9640910501,C,B,A,B,A,B,C
10003206806,C,B,A,A,B,A,A
10121282706,B,A,B,B,A,B,C
10537366026,C,A,A,A,B,A,B
11014929335,C,B,A,B,A,A,C
11175831776,B,A,A,A,A,B,C
11985456966,C,B,A,A,A,A,A
12714152683,B,A,B,B,A,B,C
13363473424,B,B,A,A,A,B,C
13461766705,C,A,B,B,A,B,B
13963887305,C,A,A,A,B,B,A
961578,C,B,A,B,A,A,B
8455618,C,B,A,A,B,B,A
8610550,C,B,A,A,A,A,A
32633215,C,B,A,A,B,B,A
33337329,C,B,A,A,A,A,A
74619051,C,A,B,A,B,B,C
129841428,B,A,B,B,A,B,C
138991280,C,B,A,A,A,A,A
143845164,B,B,A,A,A,A,A
161142762,B,B,A,B,A,B,A
162863290,B,A,B,A,B,A,C
190003873,C,A,B,B,A,A,A
193907931,C,B,A,A,A,A,A
197132294,B,B,A,B,A,A,A
204004897,B,A,B,B,A,B,C
236575071,B,B,A,A,B,A,C
251877645,B,A,B,B,A,B,B
260660602,C,B,A,A,A,A,A
280128811,C,B,A,B,A,A,A
283181248,B,B,A,B,A,A,A
297192747,B,A,B,A,B,B,C
315960562,B,B,A,B,A,A,B
344883788,C,B,A,A,B,A,B
356472264,C,A,A,B,B,B,C
358786282,B,A,B,B,A,B,C
379419762,C,B,A,A,A,A,A
384987215,B,B,A,A,A,A,A
393048108,C,A,A,A,A,A,B
397104761,C,B,A,A,B,A,A
400760123,B,A,B,B,A,B,C
443981425,B,B,A,B,A,A,C
462744220,C,B,A,A,B,A,A
478731834,C,B,A,B,A,A,B
488069576,C,A,A,A,B,B,A
496664918,C,B,A,A,B,A,A
516142073,C,B,A,A,B,A,A
532386352,B,A,B,A,B,B,C
748585499,B,B,A,A,A,A,B
864927630,C,A,A,A,A,A,B
902804092,C,A,B,A,B,B,C
984664910,B,B,A,B,B,A,A
1087662996,B,A,A,A,B,B,C
1289357310,C,B,A,A,A,A,A
1310414381,B,A,A,B,A,B,C
1320922094,C,B,A,A,A,B,B
1389846629,C,B,A,B,B,A,B
1499652266,B,A,B,B,A,B,C
1557392107,B,A,B,A,B,B,C
1659477928,B,A,B,A,B,A,C
2042084815,C,A,A,B,A,A,B
2063907099,B,B,A,A,A,A,A
2070098562,B,A,B,A,B,B,C
2096637293,C,B,A,A,B,A,A
2122447423,C,B,A,B,A,B,A
2138372551,A,A,A,B,A,B,C
2220485647,B,A,B,B,A,B,C
2232591644,C,B,A,A,B,A,A
2250587484,B,A,A,B,B,A,C
2264517682,B,A,B,B,A,A,B
2280991185,B,A,B,B,A,A,C
2302850654,B,A,B,B,A,B,C
2314192017,B,B,A,B,A,A,B
2315275238,B,A,A,A,A,B,C
2400817474,C,A,B,B,B,B,C
2425196729,C,B,A,B,B,B,A
2500179023,B,A,A,B,A,B,B
2582899267,C,B,A,A,B,A,A
2657523317,A,A,A,B,A,B,C
2689360364,C,A,A,A,B,B,B
2748295493,B,A,B,B,A,B,C
2877611238,B,A,A,A,B,A,A
2901075604,C,A,A,B,A,B,C
2908484353,B,B,A,A,A,A,B
2913584854,C,A,B,B,A,B,B
2936373184,C,B,A,B,B,B,A
2954529438,A,A,B,A,A,B,C
3014182108,B,B,A,A,A,A,B
3067729276,B,A,A,B,A,A,C
3106038695,B,A,B,B,A,B,C
3109247737,B,A,B,B,A,B,C
3123807177,C,B,A,A,B,A,A
3141232303,B,A,B,B,A,B,C
3177222884,C,B,A,B,A,A,A
3194135654,C,A,A,B,B,B,A
3239097412,B,A,B,B,A,B,C
3252552164,C,A,A,B,B,A,C
3286282738,C,B,A,A,A,B,A
3367519850,B,A,B,B,B,B,C
3437788035,B,A,B,B,A,B,C
3448603463,C,B,A,A,B,B,A
3493262591,B,A,B,B,A,B,C
3571186935,C,B,A,A,A,A,A
3578355376,B,A,B,A,B,B,C
3589957410,B,B,A,A,B,A,A
3604340060,B,A,B,A,A,A,C
3623215891,B,B,A,A,A,A,A
3642427417,B,A,B,B,A,B,C
3667871009,C,A,A,B,A,B,B
3754912645,C,B,A,B,A,B,B
3793961408,B,A,B,B,B,B,C
3848698631,B,A,B,B,A,B,C
3858951022,C,B,A,B,B,A,B
3957939154,B,A,B,A,B,B,C
3973580742,C,A,A,B,B,B,C
4020824225,C,B,A,B,B,B,B
4151002246,B,A,B,B,A,B,C
4182683298,B,A,A,B,B,A,C
4337867861,B,A,B,B,A,B,C
4355057737,C,B,A,A,B,A,A
4509567625,C,B,A,A,B,A,A
4529830482,B,B,A,A,B,A,B
4595464362,C,B,A,B,B,A,A
4659077680,A,A,A,C,C,B,C
4794484965,B,A,A,A,B,B,C
4844677845,B,A,A,B,A,B,C
4906549885,C,B,A,A,B,A,B
4935592901,B,A,B,B,A,B,C
4943904461,B,A,B,B,A,B,C
4982589142,C,B,A,A,A,A,A
5086239896,B,A,B,B,A,A,C
5147781642,B,B,A,A,A,A,A
5157067509,C,B,A,A,B,A,A
5266802781,B,A,A,A,A,A,C
5271858025,C,A,A,B,A,A,B
5377580962,C,B,A,A,B,B,A
5404476958,B,B,A,A,A,B,A
5453248181,C,A,A,B,A,B,B
5474543169,B,B,A,A,B,A,C
5481961530,C,B,A,B,A,B,B
5566412490,B,B,A,A,A,A,A
5582128470,C,B,A,A,B,A,A
5597507214,C,B,A,B,B,A,A
5645366543,C,A,A,A,B,A,C
5690346953,C,B,A,A,B,B,A
5746464724,B,A,B,B,A,B,C
5787620294,B,A,B,A,B,B,C
5799461563,B,B,A,B,A,A,C
5864025794,B,A,A,B,A,A,C
5893139952,C,B,A,A,B,A,A
5895055568,B,A,B,B,A,B,A
5936382077,C,B,A,B,A,A,A
5975143553,C,B,A,B,B,B,A
6015197942,C,B,A,A,B,A,A
6062877661,B,A,B,B,A,B,C
6127913719,C,A,A,A,A,B,B
6186170638,C,B,A,A,B,B,A
6331592414,B,A,B,B,A,B,C
6335084059,B,B,A,A,B,A,A
6343370101,C,A,B,B,A,A,C
6402701133,C,B,A,B,A,A,B
6758760147,C,A,A,B,B,B,C
6773483160,C,B,A,A,B,A,A
6780531613,C,B,A,A,A,B,A
6869418052,B,B,A,A,A,A,B
6930209086,B,B,A,B,A,A,A
6955589443,C,B,A,B,A,B,A
6961442808,C,B,A,A,A,A,A
7174842037,B,A,B,B,A,B,C
7190987226,C,B,A,A,A,A,A
7291335624,C,B,A,A,B,A,A
7404450384,C,B,A,A,B,A,A
7405826530,C,B,A,A,A,A,B
7435547304,C,B,A,A,B,A,A
7442103862,B,A,A,B,A,B,C
7553525110,B,B,A,A,A,A,C
7640965516,C,B,A,B,A,A,A
7754718074,B,B,A,A,B,A,A
7769217272,B,A,B,B,A,B,C
7772297086,C,B,A,A,B,A,B
7829479910,C,B,A,A,B,A,B
7932100896,B,A,B,A,A,B,B
8097524059,C,B,A,B,A,A,A
8216324990,C,B,A,A,B,A,A
8275994864,A,B,A,A,A,A,B
8413225261,C,A,B,B,A,B,C
8474615403,C,B,A,A,B,A,A
8522888335,C,B,A,A,B,A,A
8674311330,C,B,A,A,B,A,A
8709361761,C,B,A,A,A,A,A
8724971015,C,A,B,B,A,B,B
9003525390,B,B,A,A,A,A,A
9031231108,B,B,A,A,B,A,A
9156741088,A,A,B,B,A,B,C
9249065013,C,B,A,B,A,A,B
9386702982,C,B,A,A,A,B,A
9672684353,B,A,B,B,A,B,C
9674589657,C,B,A,A,B,A,A
9674782856,C,B,A,A,B,A,A
9880081374,C,A,A,B,B,B,B
10541286366,C,B,A,A,A,B,A
10594856076,B,A,A,A,B,A,B
10623520323,B,A,A,B,B,B,C
11592359494,C,A,B,B,B,A,B
12246783313,B,A,B,C,C,B,C
12403641564,B,B,A,A,A,A,A
13068369505,C,B,A,B,A,B,A
13169205385,B,B,A,A,B,A,A
13349689403,C,B,A,B,A,B,B
13744066983,C,B,A,A,B,B,B
14006146813,C,A,B,A,B,B,A
1008954785,C,B,A,A,A,A,A
109683748,B,B,A,A,B,A,A
11439370863,B,A,B,B,A,B,C
11849940053,B,A,B,B,A,B,C
1209963633,B,A,B,B,A,B,C
12397400183,B,A,B,B,A,B,C
1240813678,C,B,A,A,B,A,A
1245625542,B,A,B,B,A,B,C
1251260035,C,B,A,A,A,A,A
1271794604,B,A,A,B,A,B,A
12843569933,B,A,B,B,A,B,C
1300413535,B,A,A,B,A,B,C
1344592336,A,A,A,A,B,B,C
135431519,C,B,A,A,B,A,A
155518243,A,A,B,B,A,B,C
1558451712,C,A,A,A,B,B,C
1577153572,C,B,A,B,A,A,A
170164345,B,B,A,A,A,A,A
1767596,B,A,A,A,B,B,C
17850307,C,B,A,A,B,A,A
1811364513,C,B,A,B,A,A,A
187055962,C,B,A,B,A,A,A
2065382466,C,B,A,B,A,A,A
2070582968,A,A,A,A,B,B,C
2130140723,B,A,B,B,A,B,C
2157868066,C,A,A,B,A,B,B
2171990758,C,B,A,A,A,A,A
2175256050,B,A,A,B,A,B,C
2175437481,B,B,A,A,B,A,B
219574771,C,B,A,A,A,A,A
223628221,B,B,A,A,B,B,C
2239196368,B,A,B,B,A,B,C
2289871510,B,A,B,B,A,B,C
2321152144,B,B,A,A,B,B,C
2355241044,B,B,A,B,A,A,A
2427449285,C,B,A,B,A,A,A
2470840837,B,A,B,B,A,B,C
249037451,B,A,B,B,A,B,C
257602406,B,A,B,A,A,B,C
2598854747,C,B,A,B,A,A,B
260406622,A,A,A,A,B,B,C
2607567109,B,A,B,B,A,B,C
2691494271,C,B,A,B,A,A,B
2711336662,B,A,B,C,C,B,C
2736717795,B,A,B,B,A,B,C
278059049,C,A,B,A,B,B,C
2909469426,B,A,B,B,A,B,C
2964967589,C,A,B,B,B,B,B
302749324,C,B,A,A,B,A,A
305410325,B,A,A,A,A,B,A
307166108,B,A,B,B,A,B,C
3085433029,C,B,A,A,A,A,A
3093068542,B,A,B,B,A,B,C
3230639432,B,A,A,B,A,B,C
3294449028,B,A,B,B,A,B,C
331928050,B,A,B,B,A,B,C
335152854,A,A,B,B,A,B,C
3376246863,C,A,B,B,B,B,B
3377833393,C,B,A,A,B,A,A
3461534897,C,B,A,A,A,A,A
3479118124,C,B,A,B,A,A,B
3493111863,C,A,B,B,A,B,B
3547600020,C,B,A,A,A,A,A
3574848954,B,A,B,B,B,B,C
3586973512,C,B,A,A,B,A,A
3598407378,A,A,A,B,A,B,C
3635455945,B,A,B,B,A,B,C
363725341,B,A,B,B,A,B,C
3661890465,C,B,A,A,B,A,A
3754966295,B,A,B,B,A,B,C
3775644661,A,A,B,A,B,B,C
3807425944,B,A,B,B,A,B,C
3844296196,B,A,B,C,C,B,C
38445624,C,B,A,B,B,A,A
385824563,B,A,B,B,A,B,C
3912224006,B,A,B,B,A,B,C
3947950733,C,B,A,A,A,A,B
3958848656,C,A,B,B,A,B,C
3961389851,A,A,A,A,B,B,C
3983138332,C,A,A,A,B,B,B
3987214294,C,B,A,A,A,A,A
4002056784,C,A,B,B,B,B,B
4003376180,C,B,A,A,A,A,A
4012202629,B,A,B,B,A,B,C
4039314912,B,A,B,B,A,B,C
415573385,C,B,A,A,A,A,A
420008280,C,B,A,A,B,A,A
420254157,C,B,A,A,A,A,A
4243008363,B,A,B,B,A,B,C
42635004,B,A,A,B,A,B,C
4292560756,B,A,B,B,A,B,C
429919014,B,B,A,B,A,B,C
4353928082,B,A,B,B,A,B,C
4354943348,B,B,A,B,A,A,A
4359210139,C,B,A,A,B,A,A
4361294505,B,A,B,B,A,B,C
4385649362,B,B,A,A,B,A,A
443965069,B,A,B,B,A,B,C
446961808,B,A,B,A,A,B,B
4482942666,B,A,B,C,C,B,C
4505050148,A,A,B,B,A,B,C
4517989195,B,A,B,B,A,B,C
4528710697,C,B,A,A,A,A,A
453121987,C,B,A,B,A,A,A
4568227448,B,A,B,B,A,B,C
4642199948,A,A,B,B,A,B,C
4643100483,B,A,A,B,A,B,B
4687982688,B,A,A,A,B,B,C
473745962,C,B,A,A,A,A,A
4752588360,C,B,A,A,B,A,A
4783680270,A,A,B,B,A,B,C
4874241461,B,A,A,B,A,B,B
491503710,B,A,B,B,A,B,C
4916980076,C,A,A,B,B,B,C
4970563926,B,B,A,A,A,A,A
4975167154,C,A,B,A,B,B,C
4979845480,C,B,A,A,A,A,A
5023753064,C,A,B,B,A,B,B
5079034447,B,A,B,B,A,B,C
5123939078,B,A,B,B,A,B,C
5131494815,C,B,A,B,A,A,B
5176340645,C,B,A,B,A,A,A
5195037687,C,B,A,B,A,A,B
5215079599,B,A,A,B,A,B,C
523765977,B,A,A,B,B,B,C
5238322730,C,B,A,A,A,A,A
525182652,B,A,B,B,B,B,C
5283480635,B,B,A,B,A,A,B
5305711173,C,A,B,B,A,B,C
533020364,C,A,B,B,A,B,C
5388832971,B,A,B,B,A,B,C
540323791,C,B,A,A,B,A,A
5489180452,C,A,A,A,B,B,C
5587112823,B,A,B,B,A,B,C
5612506837,B,A,B,B,A,B,C
5631657949,B,B,A,B,B,B,A
5645686547,B,A,B,B,B,B,C
5663282773,A,A,A,B,A,B,C
5697693368,C,A,A,B,A,A,B
5708965627,B,A,A,A,B,B,C
5714525081,B,B,A,B,A,A,A
5715945088,C,B,A,B,B,A,A
5729010784,C,B,A,A,B,A,A
5751275502,C,B,A,A,A,A,A
5762003247,B,A,B,B,A,B,C
5773277714,B,B,A,A,A,A,A
5800888156,C,A,B,B,A,B,C
5811815449,C,B,A,A,A,A,A
5893302821,B,A,B,B,A,B,C
5947183906,C,B,A,A,A,A,A
5966289914,C,B,A,A,A,A,A
5991708253,B,A,B,B,A,B,C
599683583,B,B,A,A,A,A,A
5998016760,C,A,B,B,A,B,C
6000131573,C,B,A,A,B,A,A
6053374791,C,A,B,B,A,B,C
6077184265,C,B,A,B,A,A,B
6079341887,B,A,B,B,A,B,C
6143541209,B,A,B,B,A,B,C
6289798732,B,A,B,B,A,B,C
6315406388,C,B,A,C,C,A,A
6326003739,B,A,B,B,A,B,C
6370339539,B,A,B,B,A,B,C
6409567065,C,A,B,B,A,B,B
6572793435,C,B,A,A,B,A,A
660480405,C,A,A,A,A,A,A
6777722742,B,A,B,B,A,B,C
6863126221,B,A,B,B,A,B,C
6909226296,B,A,B,B,A,B,C
6910641820,B,A,B,B,A,B,C
6929937162,B,A,A,A,A,B,B
6994080662,B,A,B,B,A,B,C
7099682207,B,A,B,B,A,B,C
756822938,B,B,A,B,A,A,B
7626042572,C,B,A,A,A,A,A
7650921778,C,B,A,A,A,A,A
7658341676,B,A,B,B,A,B,C
7983873033,B,A,B,B,B,B,C
7987594144,C,B,A,B,B,A,A
8018607438,C,B,A,B,A,A,A
8048536337,C,B,A,B,A,A,A
8088455994,B,A,B,B,A,B,C
8091675417,C,B,B,B,A,A,B
8113631875,B,A,B,B,A,B,C
813024888,C,B,A,A,A,A,A
8145531692,B,B,A,B,A,A,A
8169539155,C,B,A,A,A,A,A
8274450831,B,A,A,A,B,B,C
8307297352,B,A,A,A,B,B,C
8337195900,B,A,B,B,A,B,C
8342856741,B,A,B,A,A,B,B
8368649762,B,A,B,B,A,B,C
8433157863,B,A,B,B,A,B,C
85621794,B,A,B,B,A,B,C
8677800509,C,B,A,A,A,A,A
8687877684,C,B,A,A,B,A,A
8996526755,B,A,B,B,A,B,C
9298901388,B,A,A,A,B,B,C
9575757089,B,A,B,C,C,B,C
981399894,B,A,B,A,A,B,C
4099301,B,A,A,A,B,B,C
6481136,A,B,A,A,B,B,C
7005467,C,B,A,B,A,A,A
7302986,B,A,B,B,A,B,C
12577956,B,A,B,B,A,B,C
17193436,A,B,A,B,A,B,C
22380690,C,B,A,A,A,A,A
41462457,C,B,A,A,A,A,A
55529752,C,B,A,A,B,A,A
80222907,B,B,A,A,B,A,A
95184675,C,B,A,B,A,A,A
103950806,C,B,A,A,A,A,A
105942064,B,A,A,B,A,B,C
118823655,B,A,A,B,A,B,B
129409937,B,A,B,B,A,B,A
148954498,B,B,B,A,A,A,A
158430972,C,B,A,A,B,A,A
167259836,B,A,B,B,A,B,C
174479269,C,B,A,A,A,A,A
192529250,C,A,A,B,A,B,B
197392620,C,B,A,A,A,A,A
204340012,B,A,B,B,A,B,C
206352618,B,A,B,B,A,B,C
226095252,C,B,A,A,A,A,A
226906095,C,A,A,B,A,B,A
259397758,B,B,A,A,B,A,B
261440847,C,B,A,B,A,A,A
302672142,C,B,A,A,A,A,A
379422633,B,A,B,B,A,B,C
387054458,B,B,A,A,A,A,A
389268988,C,B,A,A,A,A,A
424866063,B,B,A,A,A,A,A
436259306,B,B,A,A,A,A,A
458198167,B,A,B,B,A,B,C
472611053,B,A,B,A,A,B,C
498279356,B,B,A,A,B,B,C
499799081,B,B,A,A,A,A,A
512044743,B,A,B,B,A,B,C
605835485,C,B,A,B,A,A,A
755493174,B,A,A,A,A,B,B
943388983,C,B,A,A,A,A,A
1000272912,C,A,A,A,A,A,A
1167228215,B,A,B,B,A,B,B
1196505686,C,B,A,B,A,A,A
1215796721,B,A,B,B,A,B,C
1233932992,B,B,A,A,A,A,A
1392355371,C,B,A,A,B,A,A
1434317105,B,A,B,B,A,B,C
1438146066,C,B,A,B,A,A,A
1475137162,B,A,B,B,A,B,C
1668535556,C,B,A,A,A,A,A
1810577182,C,A,B,B,A,B,C
1846999484,B,A,B,C,C,B,C
1941332497,C,A,B,B,A,B,C
2020160682,B,B,A,B,A,A,B
2055542051,B,A,B,B,A,B,C
2070265595,B,A,B,A,B,B,C
2132999062,B,A,A,B,A,B,C
2137593024,C,B,A,B,B,A,A
2189939913,B,B,A,A,A,A,A
2206311719,C,B,A,A,B,A,A
2237035861,C,A,A,A,B,B,C
2270685058,B,A,B,B,A,B,C
2285096134,C,B,A,A,A,A,A
2374990681,C,A,A,B,A,B,B
2385616471,B,A,B,B,A,B,C
2401651576,B,A,B,B,A,B,C
2433180795,C,B,A,A,A,A,A
2468442495,B,A,A,A,B,B,C
2503528560,B,B,A,B,A,A,A
2531243685,C,A,B,B,A,B,C
2579012409,C,B,A,B,A,A,A
2581830191,B,A,B,B,A,B,C
2594589119,B,A,B,C,C,B,C
2599328666,C,B,A,B,A,A,A
2605753541,B,A,B,B,A,B,C
2672387894,C,B,A,B,A,A,A
2849499767,C,B,A,A,A,A,A
2889972566,B,A,B,B,A,B,C
2901545630,C,B,A,B,B,A,B
2957278000,B,A,B,B,A,B,C
2969180787,C,A,B,B,A,A,C
2977977824,C,A,A,B,B,B,C
3005901150,B,B,A,A,A,A,A
3106027784,B,A,B,B,A,B,C
3140904692,B,A,B,B,A,B,C
3225745656,B,A,B,A,A,B,C
3241776173,C,B,A,B,A,A,A
3285397592,B,A,B,B,A,B,C
3289607460,B,A,B,B,A,B,C
3294321018,C,B,A,A,B,A,A
3556617055,C,A,A,B,A,B,B
3631901823,B,B,A,B,A,A,A
3652739314,C,B,A,B,A,A,A
3664676986,B,A,B,C,C,B,C
3870815742,C,B,A,A,A,A,A
3912934280,B,A,A,A,B,B,C
3953153269,B,B,B,A,A,A,A
4071629009,B,B,A,A,A,A,A
4122609659,C,B,A,A,A,A,A
4150565298,B,A,B,B,A,B,B
4167051309,B,A,A,A,B,B,C
4185259785,B,A,B,B,A,B,C
4201943167,C,B,A,B,A,A,A
4255961181,B,A,B,C,C,B,C
4282352331,C,B,A,B,A,A,A
4349295488,B,A,A,A,A,B,B
4377349075,B,B,A,B,A,A,A
4489698334,B,A,B,B,A,B,C
4510419700,C,B,A,A,A,A,A
4530919810,A,A,B,B,A,B,C
4575317850,B,A,A,A,B,B,C
4584081979,C,B,A,B,A,A,A
4644312469,B,B,A,B,A,A,B
4676317751,A,A,B,A,A,B,C
4724098742,C,B,A,A,B,A,A
4744139130,B,A,A,A,B,B,C
4744212239,C,B,A,B,A,A,A
4758669116,B,A,B,B,A,B,C
4859115071,A,A,B,A,B,B,C
4946106852,B,A,B,B,A,B,C
4955555972,C,B,A,A,A,A,A
5024625368,C,B,A,B,A,A,B
5048850432,B,A,B,B,A,B,A
5192090589,B,A,B,B,A,B,C
5219647169,B,A,A,A,B,B,C
5225543448,B,A,B,B,A,B,A
5228831859,B,B,A,B,A,B,B
5259488883,C,A,A,B,A,B,B
5285429923,B,A,B,B,A,B,C
5370915569,B,A,A,B,A,B,C
5560285162,B,B,A,B,A,A,A
5627647766,B,A,B,B,A,B,C
5679417054,B,B,A,A,A,A,A
5690580847,C,A,B,B,A,B,B
5698951295,A,A,B,A,A,B,C
5712588682,C,B,A,A,A,A,A
5717827654,C,B,A,A,A,A,A
5723655581,C,B,A,B,A,A,A
5733304253,B,A,B,B,A,B,C
5744060099,C,B,A,B,A,A,A
5828793380,B,A,A,A,B,B,C
5847214587,C,B,A,A,A,A,A
