image_id,image_source,true_coordinate,sharing_intent
yfcc-334737420,Flickr-yfcc_openai_train,"[49.475876, 34.380257]",0
yfcc-3448603463,Flickr-yfcc_openai_train,"[40.041587, -83.028402]",0
yfcc-3571186935,Flickr-yfcc_openai_train,"[37.447656, 116.296119]",0
yfcc-387054458,Flickr-yfcc_openai_train,"[52.094095, 5.118523]",0
yfcc-3903204544,Flickr-yfcc_openai_train,"[-8.780407, 115.225532]",0
yfcc-3958848656,Flickr-yfcc_openai_train,"[12.381893, -1.5696189999999999]",0
yfcc-3980869829,Flickr-yfcc_openai_train,"[38.908333, -76.947984]",0
yfcc-4020824225,Flickr-yfcc_openai_train,"[68.081179, -152.932434]",0
yfcc-4056891461,Flickr-yfcc_openai_train,"[37.790251, -122.44812]",0
yfcc-4077461130,Flickr-yfcc_openai_train,"[31.620263, -7.985139]",0
yfcc-409125877,Flickr-yfcc_openai_train,"[57.12938, -2.165122]",0
yfcc-4182683298,Flickr-yfcc_openai_train,"[43.140966, 5.847472]",0
yfcc-420008280,Flickr-yfcc_openai_train,"[36.164028, -86.778548]",0
yfcc-4359210139,Flickr-yfcc_openai_train,"[52.365193, 4.904446]",0
yfcc-4439967620,Flickr-yfcc_openai_train,"[39.946735, 116.356201]",0
yfcc-4666255819,Flickr-yfcc_openai_train,"[52.709519, 1.580142]",0
yfcc-4701454356,Flickr-yfcc_openai_train,"[37.785232, -122.402865]",0
yfcc-478731834,Flickr-yfcc_openai_train,"[44.493413, 11.342825]",0
yfcc-5023753064,Flickr-yfcc_openai_train,"[39.162543, -94.393672]",0
yfcc-5348195379,Flickr-yfcc_openai_train,"[41.062786, 29.039611]",0
yfcc-5582128470,Flickr-yfcc_openai_train,"[43.460769, -3.808307]",0
yfcc-561532373,Flickr-yfcc_openai_train,"[42.367383, -71.07003]",0
yfcc-5706920699,Flickr-yfcc_openai_train,"[50.58939, 4.544738]",0
yfcc-5800801840,Flickr-yfcc_openai_train,"[52.580405999999996, 1.292095]",0
yfcc-5847214587,Flickr-yfcc_openai_train,"[39.71388, -82.602725]",0
yfcc-599683583,Flickr-yfcc_openai_train,"[37.562813, 127.001609]",0
yfcc-6296560201,Flickr-yfcc_openai_train,"[43.128535, 6.013351]",0
yfcc-6773483160,Flickr-yfcc_openai_train,"[38.889337, -77.034276]",0
yfcc-6863126221,Flickr-yfcc_openai_train,"[53.628849, -2.729922]",0
yfcc-6925234617,Flickr-yfcc_openai_train,"[30.04495, 31.238808]",0
yfcc-7027212521,Flickr-yfcc_openai_train,"[34.723388, 137.047988]",0
yfcc-732340852,Flickr-yfcc_openai_train,"[37.815615, -122.365593]",0
yfcc-7404450384,Flickr-yfcc_openai_train,"[-33.11, 19.812]",0
yfcc-7543089492,Flickr-yfcc_openai_train,"[27.188074, 77.989883]",0
yfcc-7650921778,Flickr-yfcc_openai_train,"[51.535458, -0.130484]",0
yfcc-7652801324,Flickr-yfcc_openai_train,"[54.49138, -3.232555]",0
yfcc-813024888,Flickr-yfcc_openai_train,"[52.478199, -1.894712]",0
yfcc-8163759207,Flickr-yfcc_openai_train,"[41.018211, 29.1009]",0
yfcc-8166649709,Flickr-yfcc_openai_train,"[20.669639, -156.053237]",0
yfcc-8214858512,Flickr-yfcc_openai_train,"[53.075761, 6.456398]",0
yfcc-8216324990,Flickr-yfcc_openai_train,"[1.2092209999999999, 103.757972]",0
yfcc-8262494770,Flickr-yfcc_openai_train,"[40.768499, -73.975001]",0
yfcc-8275994864,Flickr-yfcc_openai_train,"[53.476279, -2.253036]",0
yfcc-8306613715,Flickr-yfcc_openai_train,"[38.921806, -77.036154]",0
yfcc-8322547789,Flickr-yfcc_openai_train,"[51.473712, -0.078605]",0
yfcc-9546093889,Flickr-yfcc_openai_train,"[52.362157, -6.704192]",0
yfcc-10014760015,Flickr-yfcc_openai_train,"[37.767042000000004, -122.402799]",-1
yfcc-10024526336,Flickr-yfcc_openai_train,"[40.745306, -111.858689]",-1
yfcc-10170629486,Flickr-yfcc_openai_train,"[38.907063, -77.067373]",-1
yfcc-10243975684,Flickr-yfcc_openai_train,"[53.615902, -2.155015]",-1
yfcc-10582054416,Flickr-yfcc_openai_train,"[37.542161, -77.435685]",-1
yfcc-10594856076,Flickr-yfcc_openai_train,"[33.456672, -111.94522]",-1
yfcc-1087662996,Flickr-yfcc_openai_train,"[17.485028, -92.047405]",-1
yfcc-11167306953,Flickr-yfcc_openai_train,"[40.756577, -73.986256]",-1
yfcc-11178409936,Flickr-yfcc_openai_train,"[50.446186, 30.521263]",-1
yfcc-11268467633,Flickr-yfcc_openai_train,"[50.93, 0.8135]",-1
yfcc-1139613029,Flickr-yfcc_openai_train,"[59.332757, 18.069859]",-1
yfcc-11592359494,Flickr-yfcc_openai_train,"[40.24193, -121.141834]",-1
yfcc-1167228215,Flickr-yfcc_openai_train,"[5.173011, -58.848266]",-1
yfcc-11953673806,Flickr-yfcc_openai_train,"[-43.529675, 172.63861]",-1
yfcc-120268767,Flickr-yfcc_openai_train,"[51.75849, -1.264114]",-1
yfcc-1215796721,Flickr-yfcc_openai_train,"[26.320959, 73.048267]",-1
yfcc-1224189426,Flickr-yfcc_openai_train,"[50.717696, -1.8631479999999998]",-1
yfcc-1233932992,Flickr-yfcc_openai_train,"[43.649099, -79.372261]",-1
yfcc-12397400183,Flickr-yfcc_openai_train,"[41.295541, -89.028484]",-1
yfcc-1240813678,Flickr-yfcc_openai_train,"[1.459414, 103.76550399999999]",-1
yfcc-1271794604,Flickr-yfcc_openai_train,"[-33.4441, -70.651777]",-1
yfcc-129841428,Flickr-yfcc_openai_train,"[39.955082, -75.158329]",-1
yfcc-1320922094,Flickr-yfcc_openai_train,"[47.747966, -3.3646700000000003]",-1
yfcc-132859657,Flickr-yfcc_openai_train,"[37.578813, 126.995468]",-1
yfcc-1386606787,Flickr-yfcc_openai_train,"[-33.906468, 18.419523]",-1
yfcc-138991280,Flickr-yfcc_openai_train,"[50.539562, -4.938182]",-1
yfcc-1434317105,Flickr-yfcc_openai_train,"[43.951007, 4.8061]",-1
yfcc-1471015976,Flickr-yfcc_openai_train,"[48.199506, 16.366195]",-1
yfcc-1475137162,Flickr-yfcc_openai_train,"[55.683681, 37.540669]",-1
yfcc-1495067921,Flickr-yfcc_openai_train,"[-15.000007, 47.262153]",-1
yfcc-1499652266,Flickr-yfcc_openai_train,"[19.435059, -99.131226]",-1
yfcc-155518243,Flickr-yfcc_openai_train,"[51.530452, -0.123467]",-1
yfcc-1557392107,Flickr-yfcc_openai_train,"[41.89243, 12.483977]",-1
yfcc-167259836,Flickr-yfcc_openai_train,"[23.716682, 90.392589]",-1
yfcc-17193436,Flickr-yfcc_openai_train,"[52.117, 4.286]",-1
yfcc-178966363,Flickr-yfcc_openai_train,"[52.380786, 4.90149]",-1
yfcc-182853909,Flickr-yfcc_openai_train,"[49.964472, 8.20713]",-1
yfcc-187055962,Flickr-yfcc_openai_train,"[47.651986, -122.356844]",-1
yfcc-1896392812,Flickr-yfcc_openai_train,"[37.806152, -122.454741]",-1
yfcc-190003873,Flickr-yfcc_openai_train,"[51.440313, -0.175781]",-1
yfcc-1910958552,Flickr-yfcc_openai_train,"[48.889509, 2.24562]",-1
yfcc-192529250,Flickr-yfcc_openai_train,"[50.404578, 3.771743]",-1
yfcc-1973617618,Flickr-yfcc_openai_train,"[53.955959, -1.080179]",-1
yfcc-199467330,Flickr-yfcc_openai_train,"[51.183432, -3.441467]",-1
yfcc-2020160682,Flickr-yfcc_openai_train,"[48.206371, 16.358642]",-1
yfcc-2042084815,Flickr-yfcc_openai_train,"[40.595657, -73.508008]",-1
yfcc-2063907099,Flickr-yfcc_openai_train,"[10.474724, -66.946456]",-1
yfcc-2070265595,Flickr-yfcc_openai_train,"[43.769335, 11.255997]",-1
yfcc-207443884,Flickr-yfcc_openai_train,"[39.931985, 116.398429]",-1
yfcc-2138372551,Flickr-yfcc_openai_train,"[52.519067, 13.399082]",-1
yfcc-2153205662,Flickr-yfcc_openai_train,"[38.895892, -77.039898]",-1
yfcc-2157868066,Flickr-yfcc_openai_train,"[18.888096, 98.944931]",-1
yfcc-2166577970,Flickr-yfcc_openai_train,"[51.509169, -0.109348]",-1
yfcc-2175256050,Flickr-yfcc_openai_train,"[43.372852, -72.338424]",-1
yfcc-2175437481,Flickr-yfcc_openai_train,"[52.372743, 4.892349]",-1
yfcc-218049846,Flickr-yfcc_openai_train,"[47.610097, -122.342934]",-1
yfcc-219574771,Flickr-yfcc_openai_train,"[37.787988, -122.407516]",-1
yfcc-222148332,Flickr-yfcc_openai_train,"[47.516389, 19.080591]",-1
yfcc-223628221,Flickr-yfcc_openai_train,"[51.511733, -0.10643000000000001]",-1
yfcc-2250587484,Flickr-yfcc_openai_train,"[14.479259, 120.901247]",-1
yfcc-226095252,Flickr-yfcc_openai_train,"[51.918861, 4.489159]",-1
yfcc-2270685058,Flickr-yfcc_openai_train,"[22.255329, 113.906013]",-1
yfcc-2302850654,Flickr-yfcc_openai_train,"[50.837356, -1.114382]",-1
yfcc-2315275238,Flickr-yfcc_openai_train,"[50.723052, -3.528193]",-1
yfcc-2319106536,Flickr-yfcc_openai_train,"[48.862258, 2.292129]",-1
yfcc-2355241044,Flickr-yfcc_openai_train,"[40.598, -73.5025]",-1
yfcc-236575071,Flickr-yfcc_openai_train,"[44.935215, -93.167581]",-1
yfcc-2374990681,Flickr-yfcc_openai_train,"[39.595189, -121.551983]",-1
yfcc-2385616471,Flickr-yfcc_openai_train,"[41.688489, -73.891746]",-1
yfcc-2427449285,Flickr-yfcc_openai_train,"[30.258177, 120.138931]",-1
yfcc-2505675262,Flickr-yfcc_openai_train,"[40.853455, 14.250597]",-1
yfcc-2527465034,Flickr-yfcc_openai_train,"[47.927198, -123.018175]",-1
yfcc-2579012409,Flickr-yfcc_openai_train,"[38.912858, -77.045102]",-1
yfcc-2592621278,Flickr-yfcc_openai_train,"[35.672288, 139.734592]",-1
yfcc-2598061660,Flickr-yfcc_openai_train,"[55.845491, -4.424421]",-1
yfcc-2605753541,Flickr-yfcc_openai_train,"[50.08966, 14.412109]",-1
yfcc-2620626566,Flickr-yfcc_openai_train,"[43.665939, -79.380179]",-1
yfcc-2672387894,Flickr-yfcc_openai_train,"[40.756992, -73.982559]",-1
yfcc-2685630694,Flickr-yfcc_openai_train,"[38.888878, -77.026106]",-1
yfcc-2689360364,Flickr-yfcc_openai_train,"[45.139127, -123.289175]",-1
yfcc-2691494271,Flickr-yfcc_openai_train,"[-33.885666, 151.218166]",-1
yfcc-2736717795,Flickr-yfcc_openai_train,"[45.510226, -73.537201]",-1
yfcc-2761693779,Flickr-yfcc_openai_train,"[46.260127, 8.835829]",-1
yfcc-2762175007,Flickr-yfcc_openai_train,"[38.987254, -77.246059]",-1
yfcc-278059049,Flickr-yfcc_openai_train,"[40.069927, 140.236701]",-1
yfcc-2790764148,Flickr-yfcc_openai_train,"[51.517215, -0.081592]",-1
yfcc-284743606,Flickr-yfcc_openai_train,"[38.902054, -77.048862]",-1
yfcc-2889972566,Flickr-yfcc_openai_train,"[30.034956, 31.239709]",-1
yfcc-2895060837,Flickr-yfcc_openai_train,"[44.975074, -93.271896]",-1
yfcc-2901545630,Flickr-yfcc_openai_train,"[37.891653, -122.616004]",-1
yfcc-2908484353,Flickr-yfcc_openai_train,"[37.534238, 126.98352]",-1
yfcc-2909398461,Flickr-yfcc_openai_train,"[51.514422, -0.106227]",-1
yfcc-2954529438,Flickr-yfcc_openai_train,"[43.723353, 10.397078]",-1
yfcc-2957278000,Flickr-yfcc_openai_train,"[38.897809, -77.022871]",-1
yfcc-297192747,Flickr-yfcc_openai_train,"[-45.037019, 168.636875]",-1
yfcc-2977977824,Flickr-yfcc_openai_train,"[-37.6205, 146.459638]",-1
yfcc-2986268204,Flickr-yfcc_openai_train,"[51.50181, -0.17760499999999999]",-1
yfcc-2986463640,Flickr-yfcc_openai_train,"[51.524598, -0.08742899999999999]",-1
yfcc-2987352589,Flickr-yfcc_openai_train,"[35.046146, -90.023104]",-1
yfcc-3009746148,Flickr-yfcc_openai_train,"[41.871717, -87.619872]",-1
yfcc-3014182108,Flickr-yfcc_openai_train,"[42.331065, -83.046598]",-1
yfcc-305410325,Flickr-yfcc_openai_train,"[24.560107, -81.806291]",-1
yfcc-3067729276,Flickr-yfcc_openai_train,"[47.611223, -122.336776]",-1
yfcc-307166108,Flickr-yfcc_openai_train,"[55.911409, -3.223071]",-1
yfcc-3106027784,Flickr-yfcc_openai_train,"[49.263453, -123.137576]",-1
yfcc-3106038695,Flickr-yfcc_openai_train,"[51.509212, -0.15515299999999999]",-1
yfcc-3109247737,Flickr-yfcc_openai_train,"[40.703537, -74.016117]",-1
yfcc-3140904692,Flickr-yfcc_openai_train,"[32.051589, 118.779888]",-1
yfcc-3141232303,Flickr-yfcc_openai_train,"[48.864714, 2.296142]",-1
yfcc-3187101394,Flickr-yfcc_openai_train,"[37.942911, 27.289009]",-1
yfcc-3194135654,Flickr-yfcc_openai_train,"[11.62172, 76.590671]",-1
yfcc-3227947036,Flickr-yfcc_openai_train,"[18.929, 72.831534]",-1
yfcc-3230639432,Flickr-yfcc_openai_train,"[-30.24063, -70.73604]",-1
yfcc-3241776173,Flickr-yfcc_openai_train,"[30.26787, -97.747378]",-1
yfcc-3276193120,Flickr-yfcc_openai_train,"[-1.9551859999999999, 105.996093]",-1
yfcc-3286429823,Flickr-yfcc_openai_train,"[13.036589, 101.4925]",-1
yfcc-3289607460,Flickr-yfcc_openai_train,"[20.229905, -87.42259]",-1
yfcc-331928050,Flickr-yfcc_openai_train,"[36.756406, 139.599427]",-1
yfcc-33337329,Flickr-yfcc_openai_train,"[38.898915, -77.052354]",-1
yfcc-3357571272,Flickr-yfcc_openai_train,"[40.810443, -72.641344]",-1
yfcc-3367519850,Flickr-yfcc_openai_train,"[18.453679, -66.084136]",-1
yfcc-3461534897,Flickr-yfcc_openai_train,"[12.9885, 77.581329]",-1
yfcc-3469805597,Flickr-yfcc_openai_train,"[48.851291, 2.326888]",-1
yfcc-3480155072,Flickr-yfcc_openai_train,"[33.992627, -81.03154]",-1
yfcc-3493262591,Flickr-yfcc_openai_train,"[51.514159, -0.14158199999999999]",-1
yfcc-3511424366,Flickr-yfcc_openai_train,"[57.587429, -5.432739]",-1
yfcc-3567467199,Flickr-yfcc_openai_train,"[37.792151, -122.422714]",-1
yfcc-3578355376,Flickr-yfcc_openai_train,"[38.303152, -123.064837]",-1
yfcc-3595533215,Flickr-yfcc_openai_train,"[53.33841, -6.259267]",-1
yfcc-3604340060,Flickr-yfcc_openai_train,"[48.872788, 2.333469]",-1
yfcc-3623215891,Flickr-yfcc_openai_train,"[41.888157, -87.624742]",-1
yfcc-3625381914,Flickr-yfcc_openai_train,"[37.780159, -122.413445]",-1
yfcc-3631901823,Flickr-yfcc_openai_train,"[53.540932, -113.504776]",-1
yfcc-363725341,Flickr-yfcc_openai_train,"[47.606166, -122.33287]",-1
yfcc-3667871009,Flickr-yfcc_openai_train,"[32.366677, -110.726331]",-1
yfcc-3671032513,Flickr-yfcc_openai_train,"[-30.059344, -51.176376]",-1
yfcc-3672094201,Flickr-yfcc_openai_train,"[49.283153, -123.110655]",-1
yfcc-3743797747,Flickr-yfcc_openai_train,"[49.185889, -2.110233]",-1
yfcc-3775644661,Flickr-yfcc_openai_train,"[38.893466, -77.023084]",-1
yfcc-3793961408,Flickr-yfcc_openai_train,"[40.71455, -74.007118]",-1
yfcc-379422633,Flickr-yfcc_openai_train,"[39.918162, 116.394653]",-1
yfcc-385824563,Flickr-yfcc_openai_train,"[30.287865, -97.742271]",-1
yfcc-391062927,Flickr-yfcc_openai_train,"[31.785311, 35.218734]",-1
yfcc-3912934280,Flickr-yfcc_openai_train,"[48.858227, 2.337558]",-1
yfcc-3961389851,Flickr-yfcc_openai_train,"[37.81887, -122.47919]",-1
yfcc-3983138332,Flickr-yfcc_openai_train,"[-39.304267, 175.526177]",-1
yfcc-4003376180,Flickr-yfcc_openai_train,"[40.428833, -79.797123]",-1
yfcc-400760123,Flickr-yfcc_openai_train,"[40.649061, 35.817232]",-1
yfcc-4014709929,Flickr-yfcc_openai_train,"[23.141844, -82.372291]",-1
yfcc-4039314912,Flickr-yfcc_openai_train,"[35.604438, 139.702025]",-1
yfcc-4071629009,Flickr-yfcc_openai_train,"[48.858295, 2.349507]",-1
yfcc-4087655917,Flickr-yfcc_openai_train,"[40.348167, -75.032166]",-1
yfcc-4101969711,Flickr-yfcc_openai_train,"[37.788666, -122.401834]",-1
yfcc-415815332,Flickr-yfcc_openai_train,"[35.321568, 139.552974]",-1
yfcc-4243008363,Flickr-yfcc_openai_train,"[-39.266666, 175.55]",-1
yfcc-4329535990,Flickr-yfcc_openai_train,"[-35.770541, 137.552089]",-1
yfcc-4341776736,Flickr-yfcc_openai_train,"[47.609244, -122.339415]",-1
yfcc-4353928082,Flickr-yfcc_openai_train,"[40.745666, -73.980334]",-1
yfcc-4385649362,Flickr-yfcc_openai_train,"[48.85839, 2.340087]",-1
yfcc-439772496,Flickr-yfcc_openai_train,"[35.651368, 134.557542]",-1
yfcc-4428020686,Flickr-yfcc_openai_train,"[51.514418, -0.08147399999999999]",-1
yfcc-443568113,Flickr-yfcc_openai_train,"[34.694767, 135.831527]",-1
yfcc-443965069,Flickr-yfcc_openai_train,"[48.890003, 2.240009]",-1
yfcc-443981425,Flickr-yfcc_openai_train,"[47.655357, -122.313264]",-1
yfcc-4487890778,Flickr-yfcc_openai_train,"[40.779241, -73.961963]",-1
yfcc-4489698334,Flickr-yfcc_openai_train,"[51.200941, 1.400885]",-1
yfcc-4496629668,Flickr-yfcc_openai_train,"[35.682372, 139.611652]",-1
yfcc-4502180364,Flickr-yfcc_openai_train,"[-37.817581, 144.968163]",-1
yfcc-452289167,Flickr-yfcc_openai_train,"[30.837246, 79.494581]",-1
yfcc-4575317850,Flickr-yfcc_openai_train,"[43.702333, 11.463167]",-1
yfcc-458198167,Flickr-yfcc_openai_train,"[53.713834, -1.618155]",-1
yfcc-4643100483,Flickr-yfcc_openai_train,"[45.501775, -73.570289]",-1
yfcc-4644312469,Flickr-yfcc_openai_train,"[51.632756, -0.753142]",-1
yfcc-4659077680,Flickr-yfcc_openai_train,"[35.161249, -111.27925]",-1
yfcc-4678764272,Flickr-yfcc_openai_train,"[34.014756, -118.495016]",-1
yfcc-472611053,Flickr-yfcc_openai_train,"[46.051373, 14.507789]",-1
yfcc-4758669116,Flickr-yfcc_openai_train,"[51.515555, -0.11194499999999999]",-1
yfcc-4783680270,Flickr-yfcc_openai_train,"[40.713512, -73.997114]",-1
yfcc-4869837745,Flickr-yfcc_openai_train,"[37.971977, 23.728848]",-1
yfcc-488069576,Flickr-yfcc_openai_train,"[45.035806, -76.2858]",-1
yfcc-4906193888,Flickr-yfcc_openai_train,"[38.930441, -77.071194]",-1
yfcc-4939627873,Flickr-yfcc_openai_train,"[38.889611, -77.028611]",-1
yfcc-4970563926,Flickr-yfcc_openai_train,"[49.281369, -123.119789]",-1
yfcc-4982589142,Flickr-yfcc_openai_train,"[37.768815, -122.483042]",-1
yfcc-511802589,Flickr-yfcc_openai_train,"[33.811913, -117.919414]",-1
yfcc-5215079599,Flickr-yfcc_openai_train,"[51.464578, -0.18742699999999998]",-1
yfcc-523765977,Flickr-yfcc_openai_train,"[52.509952, 13.373353999999999]",-1
yfcc-525182652,Flickr-yfcc_openai_train,"[38.744829, -109.564826]",-1
yfcc-5266802781,Flickr-yfcc_openai_train,"[39.289318, -76.621838]",-1
yfcc-5271858025,Flickr-yfcc_openai_train,"[50.114441, 8.674913]",-1
yfcc-527932030,Flickr-yfcc_openai_train,"[55.68252, 12.529735]",-1
yfcc-5315898997,Flickr-yfcc_openai_train,"[41.008564, 28.97983]",-1
yfcc-5326321288,Flickr-yfcc_openai_train,"[48.422308, -123.37552]",-1
yfcc-533020364,Flickr-yfcc_openai_train,"[46.577388, 11.726875]",-1
yfcc-539159134,Flickr-yfcc_openai_train,"[51.519759, -0.12720099999999998]",-1
yfcc-5560285162,Flickr-yfcc_openai_train,"[34.709256, 135.480651]",-1
yfcc-5561023319,Flickr-yfcc_openai_train,"[50.776355, 6.094129]",-1
yfcc-5566412490,Flickr-yfcc_openai_train,"[30.044521, 31.235632]",-1
yfcc-5587112823,Flickr-yfcc_openai_train,"[-41.303602, 174.793853]",-1
yfcc-559430619,Flickr-yfcc_openai_train,"[40.756124, -73.98571]",-1
yfcc-5669428672,Flickr-yfcc_openai_train,"[51.466755, -2.5911210000000002]",-1
yfcc-5682064843,Flickr-yfcc_openai_train,"[40.578597, -75.528089]",-1
yfcc-5697693368,Flickr-yfcc_openai_train,"[53.380922, -2.3873800000000003]",-1
yfcc-5708965627,Flickr-yfcc_openai_train,"[33.7897, -84.385523]",-1
yfcc-5717827654,Flickr-yfcc_openai_train,"[37.534496, -77.443635]",-1
yfcc-5728633372,Flickr-yfcc_openai_train,"[41.968728, -87.688279]",-1
yfcc-5736082154,Flickr-yfcc_openai_train,"[41.87532, -87.628637]",-1
yfcc-5746464724,Flickr-yfcc_openai_train,"[46.052069, 14.504243]",-1
yfcc-5773277714,Flickr-yfcc_openai_train,"[40.416628, -3.703805]",-1
yfcc-5800888156,Flickr-yfcc_openai_train,"[46.110418, 7.324404]",-1
yfcc-5864025794,Flickr-yfcc_openai_train,"[35.139751, -90.052597]",-1
yfcc-5895055568,Flickr-yfcc_openai_train,"[34.057263, -5.523953]",-1
yfcc-605869798,Flickr-yfcc_openai_train,"[33.469996, -81.966424]",-1
yfcc-6195994913,Flickr-yfcc_openai_train,"[-33.867083, 151.207623]",-1
yfcc-6402701133,Flickr-yfcc_openai_train,"[39.067047, -108.589038]",-1
yfcc-64979761,Flickr-yfcc_openai_train,"[42.354199, -71.06943]",-1
yfcc-6712851197,Flickr-yfcc_openai_train,"[-34.997378, 117.944927]",-1
yfcc-6832234035,Flickr-yfcc_openai_train,"[32.85563, -117.25929]",-1
yfcc-6869418052,Flickr-yfcc_openai_train,"[26.189562, -80.096082]",-1
yfcc-6878113889,Flickr-yfcc_openai_train,"[38.893421, -77.031809]",-1
yfcc-6891213613,Flickr-yfcc_openai_train,"[34.420291, -119.698853]",-1
yfcc-6910641820,Flickr-yfcc_openai_train,"[53.09785, -7.916958]",-1
yfcc-6981141581,Flickr-yfcc_openai_train,"[15.336427, 76.458997]",-1
yfcc-7005467,Flickr-yfcc_openai_train,"[32.987085, -96.842336]",-1
yfcc-7190987226,Flickr-yfcc_openai_train,"[41.350743, -72.384774]",-1
yfcc-7237017308,Flickr-yfcc_openai_train,"[40.709214, -74.010601]",-1
yfcc-7293181602,Flickr-yfcc_openai_train,"[37.820005, -122.478675]",-1
yfcc-7302986,Flickr-yfcc_openai_train,"[35.672637, 139.768409]",-1
yfcc-7329057288,Flickr-yfcc_openai_train,"[52.360768, 4.885579]",-1
yfcc-7442103862,Flickr-yfcc_openai_train,"[18.424346, 98.790092]",-1
yfcc-74619051,Flickr-yfcc_openai_train,"[35.321568, 139.551429]",-1
yfcc-7617728272,Flickr-yfcc_openai_train,"[36.42061, -105.569423]",-1
yfcc-7642125636,Flickr-yfcc_openai_train,"[26.148195, 32.65068]",-1
yfcc-7829479910,Flickr-yfcc_openai_train,"[47.676831, -122.316938]",-1
yfcc-7846842152,Flickr-yfcc_openai_train,"[55.611626, 13.00233]",-1
yfcc-7932100896,Flickr-yfcc_openai_train,"[54.682882, 25.278442]",-1
yfcc-7994004605,Flickr-yfcc_openai_train,"[44.194833, -121.617667]",-1
yfcc-80222907,Flickr-yfcc_openai_train,"[36.385912, 139.394531]",-1
yfcc-8169539155,Flickr-yfcc_openai_train,"[21.031949, 105.819908]",-1
yfcc-8239118773,Flickr-yfcc_openai_train,"[37.971569, 23.727475]",-1
yfcc-8307089134,Flickr-yfcc_openai_train,"[43.716593, 10.402261]",-1
yfcc-8375664191,Flickr-yfcc_openai_train,"[1.282, 103.863499]",-1
yfcc-8378196339,Flickr-yfcc_openai_train,"[38.893997, -77.024899]",-1
yfcc-85621794,Flickr-yfcc_openai_train,"[48.856865, 2.316141]",-1
yfcc-8672798282,Flickr-yfcc_openai_train,"[48.857995, 2.285327]",-1
yfcc-87112194,Flickr-yfcc_openai_train,"[-37.874853, 175.803222]",-1
yfcc-9003525390,Flickr-yfcc_openai_train,"[38.910059, -77.043494]",-1
yfcc-902804092,Flickr-yfcc_openai_train,"[39.184268, -123.717298]",-1
yfcc-9318404306,Flickr-yfcc_openai_train,"[55.620333, -5.093]",-1
yfcc-9331825096,Flickr-yfcc_openai_train,"[37.42716, -122.171353]",-1
yfcc-9640910501,Flickr-yfcc_openai_train,"[51.594187, -0.056984999999999994]",-1
yfcc-9672684353,Flickr-yfcc_openai_train,"[47.6062, -122.3321]",-1
yfcc-9674782856,Flickr-yfcc_openai_train,"[44.83917, -93.168696]",-1
yfcc-9766058031,Flickr-yfcc_openai_train,"[-34.210675, 150.976838]",-1
yfcc-9784827336,Flickr-yfcc_openai_train,"[52.650412, -7.249109]",-1
yfcc-98234144,Flickr-yfcc_openai_train,"[40.780248, -73.962407]",-1
yfcc-984664910,Flickr-yfcc_openai_train,"[48.420543, -123.369823]",-1
